vagrant@node1:~$ mpstat 2 10000
Linux 4.15.0-101-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

03:22:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:27:25 AM  all    0.76    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.23
03:27:27 AM  all    0.51    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:27:29 AM  all    4.29    0.00    2.53    0.00    0.00    0.25    0.00    0.00    0.00   92.93
03:27:31 AM  all    0.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.49

03:27:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:27:33 AM  all    2.01    0.00    2.01    0.00    0.00    0.25    0.00    0.00    0.00   95.73
03:27:35 AM  all    1.78    0.00    1.02    0.51    0.00    0.00    0.00    0.00    0.00   96.70
03:27:37 AM  all    5.87    0.00    3.83    1.79    0.00    0.26    0.00    0.00    0.00   88.27
03:27:39 AM  all    3.54    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.43
03:27:41 AM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:27:43 AM  all    0.76    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:27:45 AM  all    1.01    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.48
^C
Average:     all    1.95    0.00    2.21    0.07    0.00   14.15    0.00    0.00    0.00   81.63
